"Tarih,Saat,Enlem(N),Boylam(E),Derinlik(km),MD,ML,Mw,Yer"
"2023.12.07,01:04:22,38.1333,36.6202,5.3,-.-,1.1,-.-,YENIYAPAN-GOKSUN(KAHRAMANMARAS)"
"2023.12.07,00:31:49,38.0942,36.9320,5.4,-.-,1.0,-.-,KARADUT-GOKSUN(KAHRAMANMARAS)"
"2023.12.07,00:09:58,38.1482,36.6715,6.5,-.-,1.3,-.-,KARAOMER-GOKSUN(KAHRAMANMARAS)"
"2023.12.06,23:41:29,39.4790,26.0027,10.3,-.-,2.7,-.-,BABAKALE-AYVACIK(CANAKKALE)"
"2023.12.06,23:22:43,39.4920,25.9898,7.7,-.-,2.9,-.-,GULPINAR,ACIKLARI-CANAKKALE(EGE,DENIZI)"
"2023.12.06,22:38:11,40.4325,28.8808,9.9,-.-,2.2,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.06,22:37:50,40.4498,28.8725,5.1,-.-,1.6,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.06,22:16:03,37.6610,35.8672,4.7,-.-,1.0,-.-,CULLUUSAGI-KOZAN(ADANA)"
"2023.12.06,22:00:57,37.9567,37.9735,2.2,-.-,2.2,-.-,ERKENEK-DOGANSEHIR(MALATYA)"
"2023.12.06,21:50:23,40.4187,28.8560,8.3,-.-,1.4,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.06,20:54:36,37.9773,36.3310,5.0,-.-,1.5,-.-,HUGTAS-GOKSUN(KAHRAMANMARAS)"
"2023.12.06,20:51:55,40.4160,28.8512,10.0,-.-,2.0,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.06,20:47:21,38.8275,26.4507,6.8,-.-,1.9,-.-,EGE,DENIZI,Ýlksel"
"2023.12.06,20:45:00,40.8502,31.7493,5.3,-.-,1.7,-.-,BAGISLAR-(BOLU)"
"2023.12.06,20:31:41,37.5032,38.6010,4.9,-.-,2.2,-.-,GAZIBEY-(SANLIURFA)"
"2023.12.06,20:12:41,38.4403,37.2487,13.1,-.-,1.3,-.-,SARIYATAK-ELBISTAN(KAHRAMANMARAS)"
"2023.12.06,20:11:19,34.4812,23.2478,12.3,-.-,2.7,-.-,GIRIT,ADASI(AKDENIZ)"
"2023.12.06,20:02:20,35.5450,23.1228,10.6,-.-,2.8,-.-,GIRIT,ADASI(AKDENIZ)"
"2023.12.06,19:44:39,38.2698,38.1933,8.4,-.-,1.9,-.-,SEYITUSAGI-YESILYURT(MALATYA)"
"2023.12.06,19:10:28,37.9342,36.5472,12.7,-.-,1.5,-.-,KURUCAOVA-(KAHRAMANMARAS)"
"2023.12.06,18:48:58,38.4090,37.8503,7.0,-.-,1.4,-.-,COBANUSAGI-AKCADAG(MALATYA)"
"2023.12.06,18:47:52,40.4110,28.8863,9.6,-.-,1.6,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.06,18:32:12,38.4160,36.4825,2.5,-.-,1.8,-.-,AYRANLIK-SARIZ(KAYSERI)"
"2023.12.06,17:50:49,38.9333,27.8708,5.0,-.-,2.3,-.-,AKHISAR(MANISA)"
"2023.12.06,17:38:20,36.6497,36.4455,9.2,-.-,2.8,-.-,KAMISLAR-KIRIKHAN(HATAY)"
"2023.12.06,17:25:08,40.4428,28.8498,4.1,-.-,1.7,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.06,17:24:56,37.6525,35.8710,3.2,-.-,2.7,-.-,KARABUCAK-KOZAN(ADANA)"
"2023.12.06,17:19:57,38.4352,39.1173,15.8,-.-,1.7,-.-,KAMISLIK-SIVRICE(ELAZIG)"
"2023.12.06,17:16:15,37.8457,35.4153,17.1,-.-,1.5,-.-,BALCICAKIRI-YAHYALI(KAYSERI)"
"2023.12.06,16:59:18,38.3160,24.2015,13.1,-.-,2.1,-.-,YUNANISTAN,Ýlksel"
"2023.12.06,16:48:34,38.2488,38.4542,2.6,-.-,2.2,-.-,BEYDAGI-(MALATYA)"
"2023.12.06,15:49:32,39.1768,27.3268,5.3,-.-,1.7,-.-,AYASKENT-BERGAMA(IZMIR)"
"2023.12.06,15:20:36,38.1005,37.0088,13.1,-.-,1.5,-.-,CALIS-ELBISTAN(KAHRAMANMARAS)"
"2023.12.06,15:11:44,40.4203,28.8828,15.5,-.-,1.6,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.06,14:47:28,39.3870,27.8628,4.9,-.-,1.3,-.-,CAKILLIK-(BALIKESIR)"
"2023.12.06,14:39:03,40.8270,34.7018,13.3,-.-,2.0,-.-,YENIKOY-DODURGA(CORUM)"
"2023.12.06,14:38:28,39.3847,27.9025,7.4,-.-,1.8,-.-,DEDEBURNU-(BALIKESIR)"
"2023.12.06,14:28:32,40.8533,34.6835,8.0,-.-,2.2,-.-,DERINOZ-OGUZLAR(CORUM)"
"2023.12.06,14:27:45,38.0683,36.5485,8.1,-.-,1.5,-.-,ORTATEPE-GOKSUN(KAHRAMANMARAS)"
"2023.12.06,14:24:24,34.7528,31.8877,14.1,-.-,2.8,-.-,AKDENIZ,Ýlksel"
"2023.12.06,14:22:47,40.7980,34.7083,6.9,-.-,1.9,-.-,KUYUCAK-DODURGA(CORUM)"
"2023.12.06,13:52:26,38.3510,27.2047,1.4,-.-,2.4,-.-,ZAFER-BUCA(IZMIR)"
"2023.12.06,13:51:04,38.2843,36.1838,14.2,-.-,1.2,-.-,DAMLALI-TUFANBEYLI(ADANA)"
